               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11814,            0.046779,                   0,           0.0078721,             0.17647,            0.009921,           0.0022414,             0.11365,            0.030191,                   0,              0.0883,              0.0013,              0.0013
                   1,             0.10498,            0.052425,                   0,            0.016482,             0.38235,            0.019616,            0.005513,            0.099197,            0.027964,                   0,            0.075682,           0.0026822,           0.0026822
                   2,            0.089826,            0.054211,                   0,           0.0093333,             0.82353,            0.032653,           0.0097505,            0.087322,              0.0287,                   0,            0.063046,           0.0040459,           0.0040459
                   3,             0.08249,             0.05817,                   0,             0.12808,             0.47059,             0.16018,            0.028687,            0.075842,            0.028984,                   0,            0.050391,           0.0053911,           0.0053911
                   4,            0.079115,            0.061134,                   0,             0.23286,             0.18774,             0.21405,            0.044205,            0.074115,            0.028469,                   0,            0.037718,           0.0067178,           0.0067178
                   5,            0.077253,              0.0585,                   0,             0.33922,             0.32353,             0.26272,            0.077357,            0.070001,            0.027122,                   0,            0.025026,           0.0080261,           0.0080261
                   6,            0.076065,            0.067224,                   0,             0.21222,             0.29412,             0.13475,            0.042389,            0.068183,            0.026462,                   0,            0.012316,           0.0093159,           0.0093159
                   7,            0.073274,            0.058843,                   0,             0.44109,             0.27888,             0.34833,             0.11921,            0.063824,            0.027615,                   0,            0.009538,            0.009538,            0.009538
                   8,            0.069075,            0.058724,                   0,             0.13849,             0.35294,             0.10332,            0.026327,            0.071265,             0.02627,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.069564,             0.06791,                   0,             0.10088,             0.20588,            0.079597,            0.020527,             0.07195,            0.028498,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.067717,            0.061786,                   0,             0.11987,             0.17647,            0.074446,            0.018692,            0.065949,            0.029819,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.067118,            0.058498,                   0,            0.079247,             0.14706,            0.070044,            0.016216,            0.077906,            0.025573,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.067354,            0.058274,                   0,             0.12737,             0.35294,             0.13509,            0.049553,            0.072297,            0.025216,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.065534,            0.058469,                   0,             0.26568,             0.35294,             0.20198,            0.065662,            0.074052,            0.026592,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.066447,            0.057605,                   0,             0.20688,             0.35294,             0.14027,            0.047548,            0.068841,            0.026536,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.063097,            0.057514,                   0,             0.23952,             0.32353,             0.23714,            0.082299,            0.071712,            0.026937,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.064108,            0.053973,                   0,             0.18224,             0.52941,               0.147,            0.037692,            0.066242,            0.027025,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.061114,            0.058173,                   0,             0.09189,             0.23529,            0.069163,            0.022645,             0.07438,            0.026106,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.062229,            0.063213,                   0,             0.16311,             0.29412,             0.11905,            0.035449,            0.069379,            0.026352,                   0,            0.008878,            0.008878,            0.008878
                  19,            0.061038,            0.056061,                   0,            0.054287,             0.11651,            0.024938,           0.0060996,            0.081421,            0.027058,                   0,            0.008812,            0.008812,            0.008812
                  20,            0.062203,            0.057942,                   0,             0.34566,             0.11765,             0.14639,            0.035247,            0.064384,            0.030233,                   0,            0.008746,            0.008746,            0.008746
                  21,            0.060059,            0.052533,                   0,             0.14955,             0.32353,             0.13519,            0.039629,            0.068827,            0.027301,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.058788,            0.047261,                   0,             0.17831,             0.32353,             0.18757,            0.067436,            0.063201,            0.027842,                   0,            0.008614,            0.008614,            0.008614
                  23,            0.058404,             0.05715,                   0,              0.1754,             0.29412,             0.13872,            0.051585,            0.064906,            0.028516,                   0,            0.008548,            0.008548,            0.008548
                  24,            0.059133,            0.059431,                   0,             0.24178,             0.35294,             0.18691,            0.059846,            0.065051,            0.028701,                   0,            0.008482,            0.008482,            0.008482
                  25,            0.056828,            0.058022,                   0,             0.24228,             0.47059,             0.21319,            0.084226,             0.06329,            0.027682,                   0,            0.008416,            0.008416,            0.008416
                  26,            0.056307,            0.051466,                   0,             0.23527,             0.41176,             0.20904,            0.082018,            0.060151,            0.026958,                   0,             0.00835,             0.00835,             0.00835
                  27,            0.054739,            0.057825,                   0,             0.22049,             0.32353,             0.16821,            0.052278,            0.057174,            0.028328,                   0,            0.008284,            0.008284,            0.008284
                  28,            0.056388,            0.052563,                   0,             0.42941,             0.37644,             0.28238,             0.11094,            0.056922,            0.025564,                   0,            0.008218,            0.008218,            0.008218
                  29,            0.055511,             0.06221,                   0,             0.25456,             0.32353,             0.20795,            0.070706,            0.062571,            0.025432,                   0,            0.008152,            0.008152,            0.008152
                  30,            0.056467,            0.054036,                   0,             0.18416,             0.20588,             0.15255,            0.056271,            0.061227,            0.030146,                   0,            0.008086,            0.008086,            0.008086
                  31,            0.057883,            0.057944,                   0,             0.17158,             0.32353,             0.15952,            0.046343,            0.063943,            0.028188,                   0,             0.00802,             0.00802,             0.00802
